Name Space,AsOnSphere,ProjectName,URL,ResourceType
branch,BRANCH,Britain- Representation- and Nineteenth-Century History,http://www.branchcollective.org/,Online Exhibit? Journal?
british_museum,British Museum,British Museum,http://britishmuseum.org,
brockden_brown,Brockden Brown,The Charles Brockden Brown: Electronic Archive and Scholarly Edition,http://www.brockdenbrown.cah.ucf.edu/xtf3/search,
brockden_brown_bib,Brockden Brown Bibliography,Brockden Brown Bibliography,http://brockdenbrown.cah.ucf.edu/bibliography.php,
brooklynCommons,Brooklyn Museum,The Brooklyn Museum (on Flickr Commons),http://www.flickr.com/people/brooklyn_museum/,Flickr
bwrp,British WRP,British Women Romantic Poets (1789-1832),http://digital.lib.ucdavis.edu/projects/bwrp/,Digital Library/ Collection
cali,Caribbean ,Caribbean Literature ,http://lit.alexanderstreet.com/cali/help/1000060718,Alexander Street Press
cather,Cather Archive,The Willa Cather Archive,http://cather.unl.edu/,Digital Archive
cbw,Biographies of Women,Collective Biographies of Women,http://womensbios.lib.virginia.edu/,Annotated Bibliography
chesnutt,Chesnutt Archive,The Charles Chesnutt Digital Archive,http://www.chesnuttarchive.org/,Digital Editions- Paratext
clo,Carlyle Letters Online,Carlyle Letters Online,http://carlyleletters.dukeupress.edu,
cmepv,Corpus of Middle English Prose and Verse,Corpus of Middle English Prose and Verse,http://quod.lib.umich.edu/c/cme/browse.html,
courtauld,Courtauld,Gothic Ivories Project at the Courtauld Institute of Art,http://www.gothicivories.courtauld.ac.uk/,Digital Library/ Collection
cwld,Civil War,Civil War Letters and Diaries,http://solomon.cwld.alexanderstreet.com/,Alexander Street Press
diamm,DIAMM,Digital Image Archive of Midieval Music (DIAMM),http://www.diamm.ac.uk/,Digital Library/ Collection
dickinson,Dickinson,Library of Congress: Dickinson Electronic Archives,http://www.emilydickinson.org/,Collaborative Repository for the Study of Resources
dimev,Digital Index of Middle English Verse,Digital Index of Middle English Verse,http://www.dimev.net/,
disability,19thC Disability,Nineteenth-Century Disability: Cultures and Context,http://www.nineteenthcenturydisability.org/items/show/49,
dpla,Digital Public Library of America,Digital Public Library of America,https://dp.la/,
duniway,Duniway Speeches,Duniway Speeches,http://asduniway.org/speeches/,
e-codices,E-Codices,E-Codices (Virtual Manuscript Library of Switzerland),http://www.e-codices.unifr.ch/,Digital Library/ Collection
eastmanCommons,Eastman House,George Eastman House on Flickr Commons,http://www.flickr.com/people/george_eastman_house/,flickr
ECCO,ECCO,Eighteenth Century Collections Online,http://gdc.gale.com/products/eighteenth-century-collections-online/?searched=ecco&advsearch=oneword&highlight=ajaxSearch_highlight+ajaxSearch_highlight1#,Digital Library/ Collection
EEBO,EEBO,Early English Books Online,http://eebo.chadwyck.com/home,
ei,Europa Inventa,Manuscripts Online: Written Culture 1000-1500,https://www.manuscriptsonline.org/resources/ei/,
estc,ESTC,English Short Title Catalogue,http://estc.bl.uk/,Library
europeana_20,Wurzburg University Library,Wurzburg University Library,http://vb.uni-wuerzburg.de/ub/index.html,
europeana_a_wn,National Library of Austria,National Library of Austria,https://www.onb.ac.at/en/,
europeana_bg_son,National Library of Bulgaria,National Library of Bulgaria,http://www.nationallibrary.bg/,
europeana_biblioteca_valencia,Europeana Biblioteca Valenciana,Public Library of Valencia,http://www.bivaldi.gva.es/es/cms/elemento.cmd?id=estaticos/paginas/inicio.html,
europeana_d_bim,State Institute for Music Research Library,State Institute for Music Research (State Museum of Berlin: Online Collections Database),http://www.sim.spk-berlin.de/,
europeana_d_dumb,Central Library of Dusseldorf,Central Library of Dusseldorf,https://www.ulb.hhu.de/en/getting-started/central-library.html,
europeana_d_hah,Handel House,Handel House,http://www.handelhouse.org/,
europeana_d_heu,Heidelberg University Library,Heidelberg University Library,http://ub.uni-heidelberg.de/,
europeana_deutsche_fotothek,German Photo Library,German Photo Library,http://www.deutschefotothek.de/,
europeana_dk_kk,Royal Library of Denmark,Royal Library of Denmark,http://www.kb.dk/en/,
europeana_f_pinha,National Institute of Art Library- Paris,National Institute of Art Library- Paris,https://www.inha.fr/en/index.html,
europeana_f_pn,National Library of France,National Library of France,http://www.bnf.fr/,
europeana_gb_lbl,British Library (Europeana),Music from the British Library in Europeana,https://www.europeana.eu/portal/en/collections/music?f%5BDATA_PROVIDER%5D%5B%5D=The+British+Library&q=&view=grid,
europeana_gb_ob,Bodleian Library,Bodleian Library,https://www.bodleian.ox.ac.uk/bodley,
europeana_h_dre,Debrecen University Library,Debrecen University Library,http://www.unideb.hu/portal/en,
europeana_joods_historisch_museum,Jewish Historical Museum- Amsterdam,Jewish Historical Museum- Amsterdam,https://encrypted.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiopvO5h_7ZAhWFxFkKHYgNB0sQFggmMAA&url=https%3A%2F%2Fjck.nl%2Fen%2Flocation%2Fjewish-historical-museum&usg=AOvVaw2zLYp-Gi4o0fmhrPp2At0f,
europeana_livrustkammaren,Royal Armoury- Sweden,Royal Armoury- Sweden,http://livrustkammaren.se/en,
europeana_malmo_museer,Malmo Art Museum,Malmo Art Museum,https://encrypted.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwjjqaLah_7ZAhUDxVkKHfugA7UQFgheMAI&url=https%3A%2F%2Fmalmo.se%2FKultur--fritid%2FKultur--noje%2FKonst--design%2FMalmo-Konstmuseum%2FMalmo-Art-Museum.html&usg=AOvVaw0l5bcO3Cd4aWLrqh3a1HiC,
europeana_musikinstrumenten_museum,Music Instrument Museum- Berlin,Music Instrument Museum- Berlin,https://www.berlin.de/en/museums/3109765-3104050-musikinstrumentenmuseum.en.html,
europeana_nl_arrl,Rijksmuseum,Rijksmuseum,http://www.rijksmuseum.nl/,
